# k, C_hat(k)   (L=9.0, k_min=0.6981317007977318)
4.072434921320102208e-01,9.880554638194048778e+01
1.221730476396030607e+00,1.768951043193258101e+02
2.036217460660051159e+00,1.256980709658365356e+02
2.850704444924071268e+00,5.582635015058826866e+01
3.665191429188092265e+00,2.624187342969489833e+01
4.479678413452112373e+00,1.247456461285398532e+01
5.294165397716133370e+00,6.176472400183279809e+00
6.108652381980153478e+00,3.364272367054605084e+00
6.923139366244173587e+00,2.116961635540975717e+00
7.737626350508193696e+00,1.315767046224830095e+00
8.552113334772215580e+00,8.323388396090840580e-01
9.366600319036233913e+00,5.450300636253918585e-01
1.018108730330025580e+01,4.037985903028326051e-01
1.099557428756427591e+01,3.162094717793871301e-01
1.181006127182829601e+01,2.410362638433667382e-01
1.262454825609231790e+01,1.830574454587269861e-01
1.343903524035633623e+01,1.392620946568550733e-01
1.425352222462035812e+01,1.228462377653089244e-01
1.506800920888437822e+01,9.561827039458496713e-02
1.588249619314839833e+01,7.968476801497716144e-02
1.669698317741242022e+01,7.195079615354260660e-02
1.751147016167643855e+01,6.066503437535491344e-02
1.832595714594046044e+01,4.934273342499725934e-02
1.914044413020447877e+01,4.377583491561456985e-02
1.995493111446850065e+01,4.066733296462821112e-02
2.076941809873252254e+01,3.707674781222893012e-02
2.158390508299654087e+01,3.414789420944402965e-02
2.239839206726056275e+01,3.213407748385758989e-02
2.321287905152458109e+01,2.988993194537274689e-02
2.402736603578860297e+01,2.789187106267962402e-02
